0	1	1	3
1	2	2	3
2	1	3	3
3	3	5	7
4	1	7	3
5	2	7	7
6	1	9	7
7	4	8	11
8	1	11	3
9	2	11	7
10	1	12	7
11	3	11	11
12	1	13	7
13	2	13	11
14	1	15	11
15	5	11	15
16	1	16	3
17	2	16	7
18	1	17	7
19	3	15	11
20	1	17	7
21	2	17	11
22	1	19	11
23	4	16	15
24	1	18	7
25	2	17	11
26	1	19	11
27	3	17	15
28	1	19	11
29	2	19	15
30	1	21	15
31	6	14	19
32	1	20	3
33	2	20	7
34	1	22	7
35	3	19	11
36	1	22	7
37	2	22	11
38	1	24	11
39	4	19	15
40	1	22	7
41	2	21	11
42	1	24	11
43	3	21	15
44	1	23	11
45	2	23	15
46	1	25	15
47	5	19	19
48	1	22	7
49	2	22	11
50	1	24	11
51	3	21	15
52	1	24	11
53	2	23	15
54	1	26	15
55	4	21	19
56	1	23	11
57	2	23	15
58	1	26	15
59	3	23	19
60	1	26	15
61	2	26	19
62	1	27	19
63	7	17	23
64	1	25	3
65	2	25	7
66	1	27	7
67	3	24	11
68	1	27	7
69	2	26	11
70	1	29	11
71	4	24	15
72	1	26	7
73	2	26	11
74	1	28	11
75	3	26	15
76	1	28	11
77	2	28	15
78	1	30	15
79	5	23	19
80	1	26	7
81	2	26	11
82	1	28	11
83	3	25	15
84	1	28	11
85	2	27	15
86	1	30	15
87	4	25	19
88	1	28	11
89	2	27	15
90	1	30	15
91	3	27	19
92	1	30	15
93	2	30	19
94	1	31	19
95	6	23	23
96	1	26	7
97	2	26	11
98	1	29	11
99	3	26	15
100	1	28	11
101	2	28	15
102	1	31	15
103	4	25	19
104	1	28	11
105	2	28	15
106	1	30	15
107	3	28	19
108	1	31	15
109	2	30	19
110	1	33	19
111	5	25	23
112	1	28	11
113	2	28	15
114	1	31	15
115	3	27	19
116	1	30	15
117	2	30	19
118	1	33	19
119	4	27	23
120	1	30	15
121	2	30	19
122	1	33	19
123	3	30	23
124	1	32	19
125	2	32	23
126	1	34	23
127	8	20	27
128	1	29	3
129	2	29	7
130	1	31	7
131	3	29	11
132	1	31	7
133	2	32	11
134	1	34	11
135	4	28	15
136	1	31	7
137	2	31	11
138	1	33	11
139	3	31	15
140	1	33	11
141	2	33	15
142	1	35	15
143	5	28	19
144	1	30	7
145	2	30	11
146	1	33	11
147	3	30	15
148	1	33	11
149	2	32	15
150	1	35	15
151	4	30	19
152	1	32	11
153	2	32	15
154	1	35	15
155	3	32	19
156	1	35	15
157	2	34	19
158	1	37	19
159	6	27	23
160	1	30	7
161	2	30	11
162	1	32	11
163	3	30	15
164	1	33	11
165	2	32	15
166	1	35	15
167	4	29	19
168	1	32	11
169	2	32	15
170	1	35	15
171	3	32	19
172	1	34	15
173	2	34	19
174	1	37	19
175	5	29	23
176	1	32	11
177	2	32	15
178	1	34	15
179	3	32	19
180	1	34	15
181	2	34	19
182	1	37	19
183	4	31	23
184	1	34	15
185	2	34	19
186	1	36	19
187	3	34	23
188	1	36	19
189	2	36	23
190	1	39	23
191	7	27	27
192	1	30	7
193	2	30	11
194	1	33	11
195	3	30	15
196	1	33	11
197	2	33	15
198	1	35	15
199	4	30	19
200	1	32	11
201	2	32	15
202	1	35	15
203	3	32	19
204	1	35	15
205	2	35	19
206	1	37	19
207	5	29	23
208	1	32	11
209	2	32	15
210	1	35	15
211	3	32	19
212	1	35	15
213	2	34	19
214	1	37	19
215	4	32	23
216	1	35	15
217	2	35	19
218	1	37	19
219	3	34	23
220	1	37	19
221	2	37	23
222	1	40	23
223	6	29	27
224	1	32	11
225	2	32	15
226	1	35	15
227	3	31	19
228	1	35	15
229	2	34	19
230	1	37	19
231	4	31	23
232	1	34	15
233	2	34	19
234	1	37	19
235	3	34	23
236	1	37	19
237	2	37	23
238	1	39	23
239	5	31	27
240	1	34	15
241	2	34	19
242	1	37	19
243	3	34	23
244	1	37	19
245	2	37	23
246	1	39	23
247	4	34	27
248	1	37	19
249	2	36	23
250	1	39	23
251	3	36	27
252	1	39	23
253	2	39	27
254	1	41	27
255	9	23	31
256	1	33	3
257	2	33	7
258	1	36	7
259	3	33	11
260	1	36	7
261	2	36	11
262	1	39	11
263	4	33	15
264	1	35	7
265	2	35	11
266	1	38	11
267	3	35	15
268	1	38	11
269	2	38	15
270	1	40	15
271	5	32	19
272	1	35	7
273	2	35	11
274	1	38	11
275	3	35	15
276	1	37	11
277	2	37	15
278	1	40	15
279	4	35	19
280	1	37	11
281	2	37	15
282	1	40	15
283	3	37	19
284	1	40	15
285	2	40	19
286	1	42	19
287	6	32	23
288	1	34	7
289	2	34	11
290	1	37	11
291	3	34	15
292	1	37	11
293	2	37	15
294	1	39	15
295	4	34	19
296	1	37	11
297	2	37	15
298	1	40	15
299	3	37	19
300	1	39	15
301	2	39	19
302	1	42	19
303	5	33	23
304	1	36	11
305	2	36	15
306	1	39	15
307	3	37	19
308	1	39	15
309	2	39	19
310	1	42	19
311	4	36	23
312	1	39	15
313	2	39	19
314	1	42	19
315	3	39	23
316	1	42	19
317	2	41	23
318	1	43	23
319	7	31	27
320	1	34	7
321	2	34	11
322	1	37	11
323	3	34	15
324	1	37	11
325	2	36	15
326	1	39	15
327	4	34	19
328	1	36	11
329	2	36	15
330	1	39	15
331	3	36	19
332	1	39	15
333	2	39	19
334	1	41	19
335	5	33	23
336	1	36	11
337	2	36	15
338	1	39	15
339	3	36	19
340	1	39	15
341	2	39	19
342	1	42	19
343	4	36	23
344	1	38	15
345	2	39	19
346	1	41	19
347	3	39	23
348	1	41	19
349	2	41	23
350	1	43	23
351	6	33	27
352	1	36	11
353	2	36	15
354	1	39	15
355	3	36	19
356	1	38	15
357	2	39	19
358	1	41	19
359	4	36	23
360	1	39	15
